,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
495,Gonzalo Plata,MFFW,ec Ecuador,21,1.es Valladolid,2000,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,7,11,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,54bcdeb0
496,Jackson Porozo,DF,ec Ecuador,21,1.fr Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,7d704e92
497,Morteza Pouraliganji,DF,ir IR Iran,30,1.ir Persepolis,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,3,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.09,0.03,0.09,Matches,2c2066f4
498,?ngelo Preciado,DF,ec Ecuador,24,1.be Genk,1998,3,3,264,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2,7,5,0.00,0.34,0.34,0.00,0.34,0.02,0.14,0.17,0.02,0.17,Matches,eadc8e4f
499,Christian Pulisic,FWMF,us United States,23,1.eng Chelsea,1998,4,4,315,3.5,1,2,3,1,0,0,0,0,1.1,1.1,0.9,2.0,23,18,28,0.29,0.57,0.86,0.29,0.86,0.30,0.26,0.56,0.30,0.56,Matches,1bf33a9a
500,Adrien Rabiot,MF,fr France,27,1.it Juventus,1995,6,5,483,5.4,1,1,2,1,0,0,1,0,1.0,1.0,0.9,1.9,10,18,18,0.19,0.19,0.37,0.19,0.37,0.19,0.16,0.36,0.19,0.36,Matches,8794e251
501,Nemanja Radonji?,DFFW,rs Serbia,26,1.it Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,6,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.19,0.15,0.19,Matches,0630eb63
502,Baba Rahman,DF,gh Ghana,27,2.eng Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches,e4086af3
503,Gon?alo Ramos,FWMF,pt Portugal,20,1.pt Benfica,2001,4,2,152,1.7,3,1,4,3,0,0,0,0,1.5,1.5,0.4,2.0,1,3,12,1.78,0.59,2.37,1.78,2.37,0.91,0.24,1.15,0.91,1.15,Matches,f63cda26
504,Aaron Ramsey,MF,wls Wales,31,1.fr Nice,1990,3,3,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,3,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,ef619b0b
505,Raphinha,FW,br Brazil,25,1.es Barcelona,1996,5,4,315,3.5,0,1,1,0,0,0,0,0,1.2,1.2,1.3,2.5,17,9,32,0.00,0.29,0.29,0.00,0.29,0.35,0.38,0.72,0.35,0.72,Matches,3423f250
506,Marcus Rashford,FW,eng England,24,1.eng Manchester Utd,1997,5,1,140,1.6,3,0,3,3,0,0,0,0,1.6,1.6,0.0,1.6,5,4,17,1.93,0.00,1.93,1.93,1.93,1.03,0.00,1.03,1.03,1.03,Matches,a1d5bd30
507,David Raum,DF,de Germany,24,1.de RB Leipzig,1998,3,3,242,2.7,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,8,10,40,0.00,0.37,0.37,0.00,0.37,0.00,0.22,0.22,0.00,0.22,Matches,7d450ed3
508,Bassam Al-Rawi,DF,qa Qatar,24,1.qa Al Duhail SC,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,d59acc5e
509,Tim Ream,DF,us United States,34,1.eng Fulham,1987,4,4,360,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,20,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,28b40c9c
510,Djorkaeff Reasco,FW,ec Ecuador,23,1.ar Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5d7b7f0e
511,Gio Reyna,FW,us United States,19,1.de Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.28,0.38,0.10,0.38,Matches,7fa4e703
512,Ramin Rezaeian,DF,ir IR Iran,32,1.ir Sepahan,1990,2,2,180,2.0,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.5,7,8,9,0.50,0.00,0.50,0.50,0.50,0.13,0.14,0.27,0.13,0.27,Matches,c0ae3446
513,Everton Ribeiro,MF,br Brazil,33,1.br Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Matches,68fb50a2
514,Declan Rice,MF,eng England,23,1.eng West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,22,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,1c7012b8
515,Richarlison,FW,br Brazil,25,1.eng Tottenham,1997,4,4,323,3.6,3,0,3,3,0,0,0,0,2.1,2.1,1.0,3.1,5,5,17,0.84,0.00,0.84,0.84,0.84,0.59,0.27,0.86,0.59,0.86,Matches,fa031b34
516,Fabian Rieder,FW,ch Switzerland,20,1.ch Young Boys,2002,2,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,c2bd8585
517,R?-R?,DF,qa Qatar,31,1.qa Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,8735fe66
518,Connor Roberts,DF,wls Wales,26,2.eng Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,9,10,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches,24fae784
519,Antonee Robinson,DF,us United States,24,1.eng Fulham,1997,4,4,359,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,18,18,27,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,289601e6
520,Sergio Rochet,GK,uy Uruguay,29,1.uy Nacional,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,81b99b9e
521,Joe Rodon,DF,wls Wales,24,1.fr Rennes,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8d62d31a
522,Rodri,DF,es Spain,25,1.eng Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,13,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,6434f10d
523,Charly Rodr?guez,MF,mx Mexico,25,1.mx Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f0acf582
524,Guido Rodr?guez,MF,ar Argentina,28,1.es Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,34e393f2
525,Kevin Rodr?guez,FW,ec Ecuador,22,,2000,2,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,189fb038
526,Ricardo Rodr?guez,DF,ch Switzerland,29,1.it Torino,1992,4,4,359,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9,20,18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,7f78ad23
527,Rodrygo,MFFW,br Brazil,21,1.es Real Madrid,2001,5,1,181,2.0,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.9,10,9,23,0.00,0.50,0.50,0.00,0.50,0.26,0.25,0.52,0.26,0.52,Matches,8f5e92a6
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1.tn Esp?rance de Tunis,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b4db6d4d
529,Cristian Romero,DF,ar Argentina,24,1.eng Tottenham,1998,7,6,547,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a3d94a58
530,Cristiano Ronaldo,FW,pt Portugal,37,1.eng Manchester Utd,1985,5,3,290,3.2,1,0,1,0,1,1,0,0,1.6,0.8,0.1,1.0,8,6,25,0.31,0.00,0.31,0.00,0.00,0.51,0.04,0.55,0.26,0.30,Matches,dea698d9
531,Marten de Roon,MF,nl Netherlands,31,1.it Atalanta,1991,5,3,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2a1beb34
532,Kye Rowles,DF,au Australia,23,1.sct Hearts,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8caf6772
533,Antonio R?diger,DF,de Germany,29,1.es Real Madrid,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,21,1,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches,18b896d6
534,Bryan Ruiz,MF,cr Costa Rica,36,1.cr Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fa6292e2
535,Mathew Ryan,GK,au Australia,30,1.dk FC Copenhagen,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4535e4bb
536,Youssouf Sabaly,DF,sn Senegal,29,1.es Betis,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,13,26,15,0.00,0.00,0.00,0.00,0.00,0.01,0.16,0.18,0.01,0.18,Matches,fbbb9269
537,Abdelhamid Sabiri,MF,ma Morocco,25,1.it Sampdoria,1996,5,2,181,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,2,1,2,0.00,0.50,0.50,0.00,0.50,0.08,0.53,0.60,0.08,0.60,Matches,4830e0af
538,Romain Sa?ss,DF,ma Morocco,32,1.tr Be?ikta?,1990,6,6,466,5.2,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8,1,9,0,0.19,0.00,0.19,0.19,0.19,0.16,0.00,0.16,0.16,0.16,Matches,9fbbcf39
539,Bukayo Saka,FW,eng England,20,1.eng Arsenal,2001,4,4,288,3.2,3,0,3,3,0,0,0,0,0.6,0.6,0.7,1.3,11,10,34,0.94,0.00,0.94,0.94,0.94,0.20,0.20,0.40,0.20,0.40,Matches,bc7dc64d
540,Hiroki Sakai,MFDF,jp Japan,32,1.jp Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,6,3,0.00,0.00,0.00,0.00,0.00,0.54,0.07,0.61,0.54,0.61,Matches,d63e2912
541,Youstin Salas,DFMF,cr Costa Rica,25,1.cr Deportivo Saprissa,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,055dd4d3
542,William Saliba,DF,fr France,21,1.eng Arsenal,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,972aeb2a
543,Mohammed Salisu,DF,gh Ghana,23,1.eng Southampton,1999,3,3,270,3.0,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,2,8,1,0.33,0.00,0.33,0.33,0.33,0.26,0.08,0.34,0.26,0.34,Matches,0b33f6ad
544,Tarek Salman,DF,qa Qatar,24,1.qa Al Sadd SC,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,420f4985
545,Alex Sandro,DF,br Brazil,31,1.it Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,17,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches,0d82903c
546,Leroy San?,FWDF,de Germany,26,1.de Bayern Munich,1996,2,1,111,1.2,0,1,1,0,0,0,0,0,0.1,0.1,1.8,1.9,4,8,11,0.00,0.81,0.81,0.00,0.81,0.09,1.44,1.54,0.09,1.54,Matches,2b114be3
547,Na Sang-ho,FW,kr Korea Republic,25,1.kr FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,4,18,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,Matches,6af38cdd
548,Pablo Sarabia,FW,es Spain,30,1.fr Paris S-G,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,9744ff80
549,Josh Sargent,FW,us United States,22,2.eng Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,2,1,16,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25,Matches,a8d4428b
550,Jeremy Sarmiento,MFFW,ec Ecuador,19,1.eng Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,3,4,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.15,0.07,0.15,Matches,ac0d576d
551,Ismaila Sarr,FWMF,sn Senegal,24,2.eng Watford,1998,4,4,344,3.8,1,0,1,0,1,1,0,0,1.7,0.9,0.4,1.3,14,8,25,0.26,0.00,0.26,0.00,0.00,0.43,0.11,0.55,0.23,0.34,Matches,bfdb33aa
552,Ferjani Sassi,MFDF,tn Tunisia,30,1.qa Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,35bf6065
553,Fabian Sch?r,DF,ch Switzerland,30,1.eng Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,c8aa95da
554,Nico Schlotterbeck,DF,de Germany,22,1.de Dortmund,1999,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,34e12499
555,Kasper Schmeichel,GK,dk Denmark,35,1.fr Nice,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,53af52f3
556,Haris Seferovi?,FW,ch Switzerland,30,1.tr Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,2,0.00,0.00,0.00,0.00,0.00,0.24,0.03,0.27,0.24,0.27,Matches,a45eac1f
557,Alidu Seidu,DF,gh Ghana,22,1.fr Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,3,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,cea59f02
558,Antoine Semenyo,FWMF,gh Ghana,22,2.eng Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,efd2ec23
559,Kim Seung-gyu,GK,kr Korea Republic,31,1.sa Al-Shabab,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eabaafa6
560,Paik Seung-ho,MF,kr Korea Republic,25,1.kr Jeonbuk,1997,1,0,26,0.3,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,3.46,0.00,3.46,3.46,3.46,0.15,0.00,0.15,0.15,0.15,Matches,1e1bea09
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1.sa Al-Hilal,1992,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,251c164e
562,Xherdan Shaqiri,FWMF,ch Switzerland,30,1.us Chicago Fire,1991,3,3,229,2.5,1,1,2,1,0,0,0,0,0.3,0.3,0.9,1.2,4,16,21,0.39,0.39,0.79,0.39,0.79,0.12,0.37,0.49,0.12,0.49,Matches,6421ec64
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1.sa Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,3e8326a9
564,Luke Shaw,DF,eng England,26,1.eng Manchester Utd,1995,5,5,424,4.7,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,14,37,30,0.00,0.21,0.21,0.00,0.21,0.02,0.17,0.19,0.02,0.19,Matches,9c94165b
565,Saad Al Sheeb,GK,qa Qatar,32,1.qa Al Sadd SC,1990,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e00ad66a
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1.sa Al-Hilal,1993,3,3,223,2.5,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,3,0,8,0.40,0.00,0.40,0.40,0.40,0.03,0.05,0.09,0.03,0.09,Matches,f4377d0f
567,Andr? Silva,FW,pt Portugal,26,1.de RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Matches,3effaa34
568,Ant?nio Silva,DF,pt Portugal,18,1.pt Benfica,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f0435c7
569,Bernardo Silva,MF,pt Portugal,27,1.eng Manchester City,1994,5,4,356,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,18,18,17,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14,Matches,3eb22ec9
570,Thiago Silva,DF,br Brazil,37,1.eng Chelsea,1984,4,4,390,4.3,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,3,21,0,0.00,0.23,0.23,0.00,0.23,0.04,0.23,0.27,0.04,0.27,Matches,86e7deaf
571,Unai Sim?n,GK,es Spain,25,1.es Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5dcf3e90
572,Xavi Simons,FWMF,nl Netherlands,19,1.nl PSV Eindhoven,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,da4d670f
573,Ellyes Skhiri,MF,tn Tunisia,27,1.de K?ln,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,17,4,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,c2211709
574,Micha? Sk?ra?,MF,pl Poland,22,1.pl Lech Pozna?,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,5a80aea3
575,Andreas Skov Olsen,FWMF,dk Denmark,22,1.be Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,4,23,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,c50cee19
576,Robert Skov,DF,dk Denmark,26,1.de Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ff98492b
577,Na?m Sliti,MFFW,tn Tunisia,29,1.sa Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,3,9,7,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.21,0.11,0.21,Matches,2e0367a6
578,Carlos Soler,MF,es Spain,25,1.fr Paris S-G,1997,2,0,92,1.0,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,4,10,2,0.98,0.00,0.98,0.98,0.98,0.78,0.26,1.04,0.78,1.04,Matches,fed17f5a
579,Yuki Soma,FWMF,jp Japan,25,1.jp Grampus,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,6,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,e997f52f
580,Yann Sommer,GK,ch Switzerland,33,1.de M'Gladbach,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,420c18a1
581,Borna Sosa,DF,hr Croatia,24,1.de Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,18,17,29,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,af0d79a9
582,Harry Souttar,DF,au Australia,23,2.eng Stoke City,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,0a6cb1b1
583,Djibril Sow,MF,ch Switzerland,25,1.de Eint Frankfurt,1997,4,4,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,10,12,12,0.00,0.34,0.34,0.00,0.34,0.06,0.06,0.12,0.06,0.12,Matches,4c6facae
584,Josip Stani?i?,DF,hr Croatia,22,1.de Bayern Munich,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,7ed08d5c
585,Renato Steffen,FW,ch Switzerland,30,1.ch Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dd669209
586,Raheem Sterling,FW,eng England,27,1.eng Chelsea,1994,3,2,149,1.7,1,1,2,1,0,0,0,0,0.4,0.4,0.1,0.5,2,6,12,0.60,0.60,1.21,0.60,1.21,0.22,0.09,0.31,0.22,0.31,Matches,b400bde0
587,John Stones,DF,eng England,28,1.eng Manchester City,1994,5,5,434,4.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,4,25,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.09,0.07,0.09,Matches,5eecec3d
588,Luis Su?rez,FW,uy Uruguay,35,1.uy Nacional,1987,3,2,146,1.6,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,2,2,5,0.00,0.62,0.62,0.00,0.62,0.26,0.04,0.29,0.26,0.29,Matches,a6154613
589,Niklas S?le,DF,de Germany,26,1.de Dortmund,1995,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,29,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,e33c06cf
590,Kamaldeen Sulemana,FW,gh Ghana,20,1.fr Rennes,2002,2,0,58,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,1,6,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,a62f8bf1
591,Josip ?utalo,DF,hr Croatia,22,1.hr Dinamo Zagreb,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,33a6a650
592,Karol ?widerski,FW,pl Poland,25,1.us Charlotte,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41723204
593,Wojciech Szcz?sny,GK,pl Poland,32,1.it Juventus,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01b8a2b2
594,Damian Szyma?ski,MF,pl Poland,26,1.gr AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e935dbbf
595,Sebastian Szyma?ski,MF,pl Poland,23,1.nl Feyenoord,1999,2,2,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bb718263
